Strain,Gene,blattner,insertion,rel_cfu,rel_growth,stdev,pi_pos,stdev,
EPD001,ribF,b0025,yes,1.0E-06,0.13,0.03,2.4,0.4,
EPD002,ileS,b0026,no,,,,,,
EPD003,lspA,b0027,yes,1.3E+00,0.97,0.02,1.5,0.4,
EPD004,ispH,b0029,yes,1.0E-06,0.01,0.00,39.5,9.1,
EPD005,dapB,b0031,yes,1.0E-06,0.02,0.02,23.5,9.6,
EPD006,folA,b0048,yes,3.2E+00,0.93,0.03,2.0,0.6,
EPD007,lptD,b0054,yes,2.6E+00,0.96,0.02,2.0,0.4,
EPD008,ftsL,b0083,no,,,,,,
EPD009,ftsI,b0084,no,,,,,,
EPD010,murE,b0085,no,,,,,,
EPD011,murF,b0086,yes,8.2E-01,0.95,0.02,1.0,0.2,
EPD012,mraY,b0087,no,,,,,,
EPD013,murD,b0088,yes,1.0E-06,0.02,0.00,21.1,2.3,
EPD014,ftsW,b0089,no,,,,,,
EPD015,murG,b0090,no,,,,,,
EPD016,murC,b0091,yes,1.0E-06,0.01,0.00,38.4,3.8,
EPD017,ftsQ,b0093,yes,1.2E+00,0.94,0.00,1.2,0.4,
EPD018,ftsA,b0094,no,,,,,,
EPD019,ftsZ,b0095,yes,1.0E-06,0.10,0.05,34.7,8.2,
EPD020,lpxC,b0096,yes,1.0E-06,0.21,0.04,2.0,0.6,
EPD021,secM,b0097,yes,8.6E-01,0.96,0.02,2.0,0.4,
EPD022,secA,b0098,yes,1.0E+00,0.88,0.03,1.3,0.4,
EPD023,coaE,b0103,yes,7.1E-03,0.40,0.07,2.4,0.8,
EPD024,can,b0126,yes,1.0E-06,0.04,0.01,30.4,6.4,
EPD025,folK,b0142,yes,8.1E-01,1.00,0.01,2.8,0.7,
EPD026,hemL,b0154,yes,2.8E+00,0.82,0.11,3.0,0.9,
EPD027,erpA,b0156,yes,1.1E+00,0.64,0.05,2.9,0.5,
EPD028,dapD,b0166,yes,1.2E-02,0.92,0.09,2.7,0.6,
EPD029,map,b0168,yes,1.6E+00,0.94,0.03,1.1,0.2,
EPD030,rpsB,b0169,yes,3.0E-03,0.07,0.01,0.9,0.3,
EPD031,tsf,b0170,yes,1.0E-06,0.01,0.01,5.5,0.4,
EPD032,pyrH,b0171,no,,,,,,
EPD033,frr,b0172,yes,8.9E-01,0.74,0.13,1.6,0.3,
EPD034,dxr,b0173,yes,1.0E-06,0.03,0.00,47.3,9.8,
EPD035,ispU,b0174,yes,1.0E-06,0.05,0.01,27.1,2.4,
EPD036,cdsA,b0175,no,,,,,,
EPD037,rseP,b0176,no,,,,,,
EPD038,bamA,b0177,no,,,,,,
EPD039,lpxD,b0179,yes,4.3E-01,0.46,0.03,6.2,0.3,
EPD040,fabZ,b0180,yes,2.2E-03,0.91,0.09,3.0,0.9,
EPD041,lpxA,b0181,yes,5.8E-03,0.06,0.00,21.6,4.0,
EPD042,lpxB,b0182,yes,2.1E-04,0.30,0.06,2.3,0.5,
EPD043,dnaE,b0184,yes,1.2E+00,1.01,0.06,1.2,0.2,
EPD044,accA,b0185,yes,6.7E-03,0.11,0.02,10.3,3.7,
EPD045,tilS,b0188,no,,,,,,
EPD046,proS,b0194,yes,1.0E-06,0.02,0.01,6.9,1.0,
EPD047,yafN,b0232,yes,1.2E+00,0.97,0.04,2.6,0.5,
EPD048,yagG,b0270,yes,1.2E+00,0.95,0.06,2.4,0.4,
EPD049,hemB,b0369,yes,1.5E+00,0.93,0.05,2.4,0.3,
EPD050,secD,b0408,yes,2.3E+00,1.00,0.06,2.6,1.1,
EPD051,secF,b0409,yes,1.3E+00,1.03,0.09,2.4,0.5,
EPD052,ribD,b0414,no,,,,,,
EPD053,ribE,b0415,yes,1.0E-06,0.26,0.05,2.0,0.6,
EPD054,thiL,b0417,yes,2.0E+00,1.12,0.11,2.7,0.6,
EPD055,dxs,b0420,yes,1.0E-06,0.04,0.01,21.7,2.0,
EPD056,ispA,b0421,yes,1.0E-06,0.82,0.01,0.5,0.1,
EPD057,dnaX,b0470,yes,1.1E+00,1.11,0.13,1.7,0.4,
EPD058,adk,b0474,yes,1.0E-06,0.03,0.01,8.4,1.5,
EPD059,hemH,b0475,yes,8.7E-05,0.27,0.01,3.3,0.6,
EPD060,lpxH,b0524,yes,1.0E-02,0.74,0.07,3.1,0.5,
EPD061,cysS,b0526,yes,5.0E-04,0.03,0.00,7.4,0.1,
EPD062,folD,b0529,yes,5.9E-03,0.25,0.03,4.3,0.9,
EPD063,entD,b0583,yes,9.3E-01,0.99,0.02,2.0,0.5,
EPD064,mrdB,b0634,no,,,,,,
EPD065,mrdA,b0635,yes,9.3E-01,1.11,0.11,13.0,2.7,
EPD066,nadD,b0639,yes,2.1E-02,0.11,0.02,2.2,0.2,
EPD067,holA,b0640,yes,9.5E-01,1.00,0.03,2.5,0.3,
EPD068,lptE,b0641,no,,,,,,
EPD069,leuS,b0642,yes,2.5E-01,0.30,0.02,5.4,0.4,
EPD070,lnt,b0657,yes,2.0E+00,0.98,0.01,2.4,0.4,
EPD071,glnS,b0680,yes,7.1E-01,0.95,0.02,15.3,2.8,
EPD072,fldA,b0684,yes,1.4E-04,0.05,0.02,21.4,4.9,
EPD073,cydA,b0733,yes,1.2E+00,0.74,0.22,2.2,0.3,
EPD074,infA,b0884,yes,6.7E-04,0.10,0.02,4.9,1.0,
EPD075,cydC,b0886,yes,5.9E-01,0.54,0.32,2.3,0.4,
EPD076,ftsK,b0890,yes,7.7E-03,0.84,0.07,5.1,0.8,
EPD077,lolA,b0891,yes,1.8E+00,1.02,0.03,2.4,0.5,
EPD078,serS,b0893,yes,8.3E-02,0.12,0.00,2.1,0.3,
EPD079,rpsA,b0911,yes,1.0E-06,0.22,0.09,3.3,1.0,
EPD080,msbA,b0914,yes,1.0E-06,0.21,0.02,5.2,1.8,
EPD081,lpxK,b0915,yes,7.5E-01,0.83,0.00,2.2,0.5,
EPD082,kdsB,b0918,yes,2.0E-01,0.57,0.01,2.1,0.1,
EPD083,mukF,b0922,yes,5.0E-03,0.54,0.06,2.1,0.1,
EPD084,mukE,b0923,no,,,,,,
EPD085,mukB,b0924,yes,3.3E-04,0.42,0.13,6.5,1.1,
EPD086,asnS,b0930,no,,,,,,
EPD087,fabA,b0954,yes,6.9E-01,0.98,0.03,1.8,0.4,
EPD088,murJ,b1069,yes,3.1E+00,1.01,0.03,1.9,0.4,
EPD089,rne,b1084,no,,,,,,
EPD090,yceQ,b1085,yes,3.1E+00,1.06,0.07,2.0,0.4,
EPD091,fabD,b1092,yes,1.0E-06,0.06,0.00,15.8,3.1,
EPD092,fabG,b1093,no,,,,,,
EPD093,acpP,b1094,no,,,,,,
EPD094,tmk,b1098,no,,,,,,
EPD095,holB,b1099,yes,1.0E-06,0.62,0.03,2.4,0.7,
EPD096,lolC,b1116,no,,,,,,
EPD097,lolD,b1117,no,,,,,,
EPD098,lolE,b1118,yes,7.3E-01,0.95,0.01,1.5,1.5,
EPD099,purB,b1131,yes,4.2E-02,0.26,0.05,4.2,4.2,
EPD100,cohE,b1145,yes,1.4E+00,0.95,0.05,2.3,2.0,
EPD101,minE,b1174,yes,1.0E-06,0.15,0.06,31.4,23.2,
EPD102,minD,b1175,no,,,,,,
EPD103,pth,b1204,yes,6.7E-01,0.22,0.07,3.5,3.8,
EPD104,prs,b1207,yes,1.0E-06,0.01,0.01,5.0,4.0,
EPD105,ispE,b1208,yes,5.6E-01,0.92,0.03,4.4,5.6,
EPD106,lolB,b1209,yes,1.3E+00,0.89,0.13,4.5,3.1,
EPD107,hemA,b1210,yes,8.8E-01,0.12,0.01,1.2,0.8,
EPD108,prfA,b1211,yes,1.7E-04,0.03,0.02,39.4,25.8,
EPD109,prmC,b1212,yes,8.3E-01,0.89,0.05,1.6,1.2,
EPD110,kdsA,b1215,yes,1.1E-02,0.22,0.07,4.9,4.4,
EPD111,topA,b1274,yes,9.2E-01,0.96,0.02,3.4,4.6,
EPD112,ribA,b1277,yes,1.0E-04,0.11,0.01,3.6,4.2,
EPD113,fabI,b1288,yes,1.0E-06,0.08,0.02,16.7,10.3,
EPD114,racR,b1356,yes,5.3E-03,0.11,0.07,11.4,7.9,
EPD115,dicA,b1570,yes,7.1E-01,0.96,0.08,3.2,4.1,
EPD116,ydfB,b1572,yes,1.0E+00,0.97,0.05,3.3,3.8,
EPD117,tyrS,b1637,yes,1.5E-03,0.02,0.01,5.9,5.3,
EPD118,ribC,b1662,yes,7.5E-01,0.90,0.05,2.8,2.9,
EPD119,ydiL,b1689,yes,8.9E-01,0.95,0.07,2.2,2.0,
EPD120,pheT,b1713,yes,7.1E-03,0.04,0.01,4.7,5.4,
EPD121,pheS,b1714,no,,,,,,
EPD122,rplT,b1716,yes,9.2E-04,0.25,0.04,3.1,3.5,
EPD123,infC,b1718,yes,1.0E-06,0.09,0.01,7.3,8.9,
EPD124,thrS,b1719,yes,1.4E+00,0.84,0.01,11.4,9.7,
EPD125,nadE,b1740,yes,6.5E-03,0.11,0.03,2.9,3.3,
EPD126,gapA,b1779,yes,2.5E+00,0.96,0.09,2.4,2.6,
EPD127,tsaB,b1807,yes,1.0E+00,0.33,0.09,2.9,3.7,
EPD128,aspS,b1866,yes,2.0E+00,0.96,0.06,5.3,5.3,
EPD129,argS,b1876,no,,,,,,
EPD130,pgsA,b1912,yes,1.2E+00,0.94,0.09,1.9,1.6,
EPD131,yefM,b2017,yes,1.1E+00,0.96,0.09,2.9,3.1,
EPD132,metG,b2114,yes,6.3E-01,0.92,0.08,3.3,3.8,
EPD133,yejM,b2188,yes,1.3E+00,0.98,0.04,3.6,4.5,
EPD134,gyrA,b2231,yes,1.7E-01,0.68,0.10,3.0,3.6,
EPD135,nrdA,b2234,yes,1.9E+00,0.96,0.04,3.4,4.8,
EPD136,nrdB,b2235,yes,1.0E-06,0.12,0.07,7.9,6.3,
EPD137,folC,b2315,yes,1.2E-01,0.96,0.12,4.9,5.2,
EPD138,accD,b2316,no,,,,,,
EPD139,fabB,b2323,yes,3.0E+00,0.97,0.06,3.0,3.6,
EPD140,gltX,b2400,yes,5.0E-03,0.03,0.01,5.4,4.8,
EPD141,ligA,b2411,yes,1.0E-06,0.43,0.11,5.9,6.8,
EPD142,zipA,b2412,yes,1.0E-06,0.22,0.10,34.0,25.1,
EPD143,dapE,b2472,yes,1.0E-01,0.33,0.11,16.2,12.5,
EPD144,dapA,b2478,yes,6.7E-04,0.01,0.01,46.3,2.8,
EPD145,der,b2511,yes,1.0E-06,0.31,0.01,2.4,2.9,
EPD146,hisS,b2514,yes,3.3E-04,0.03,0.02,6.0,5.0,
EPD147,ispG,b2515,yes,1.0E-06,0.03,0.01,52.1,19.8,
EPD148,suhB,b2533,yes,1.5E+00,0.86,0.07,2.1,1.7,
EPD149,tadA,b2559,yes,7.5E-01,0.78,0.12,1.2,0.9,
EPD150,acpS,b2563,yes,5.2E-03,0.25,0.05,6.6,6.1,
EPD151,era,b2566,yes,1.0E-06,0.08,0.01,4.8,3.7,
EPD152,lepB,b2568,yes,1.5E+00,0.99,0.04,2.2,2.0,
EPD153,rpoE,b2573,yes,6.7E-01,0.84,0.15,2.0,0.6,
EPD154,pssA,b2585,no,,,,,,
EPD155,bamD,b2595,yes,1.3E+00,0.96,0.08,1.4,1.1,
EPD156,rplS,b2606,yes,1.0E-06,0.11,0.02,2.5,2.3,
EPD157,trmD,b2607,yes,4.7E-01,0.92,0.04,4.1,4.9,
EPD158,rpsP,b2609,yes,8.8E-01,0.91,0.02,0.8,0.3,
EPD159,ffh,b2610,yes,1.4E-01,1.00,0.00,1.0,0.6,
EPD160,grpE,b2614,yes,1.8E+00,1.00,0.05,1.0,0.7,
EPD161,nadK,b2615,yes,8.5E-03,0.08,0.05,30.8,16.3,
EPD162,csrA,b2696,yes,3.0E-03,0.20,0.06,41.7,14.8,
EPD163,alaS,b2697,yes,1.0E-06,0.02,0.01,5.1,3.2,
EPD164,ispF,b2746,yes,1.5E+00,1.04,0.06,1.1,0.6,
EPD165,ispD,b2747,yes,1.0E-06,0.07,0.02,21.2,13.2,
EPD166,ftsB,b2748,yes,1.3E-03,0.98,0.05,1.5,0.8,
EPD167,eno,b2779,yes,1.7E+00,0.96,0.08,1.2,0.9,
EPD168,pyrG,b2780,yes,3.0E+00,0.94,0.05,1.0,0.7,
EPD169,mazE,b2783,yes,9.2E-01,0.97,0.01,0.8,0.5,
EPD170,lgt,b2828,yes,3.0E+00,0.93,0.05,2.1,0.8,
EPD171,prfB,b2891,no,,,,,,
EPD172,fbaA,b2925,yes,1.0E-06,0.05,0.01,24.4,1.7,
EPD173,pgk,b2926,yes,8.0E-03,0.13,0.03,4.3,0.9,
EPD174,metK,b2942,yes,4.5E-01,0.33,0.06,1.7,1.2,
EPD175,yqgF,b2949,yes,5.0E-01,0.35,0.06,1.5,1.2,
EPD176,plsC,b3018,yes,5.0E-01,0.50,0.13,2.1,0.7,
EPD177,parC,b3019,yes,5.0E-04,0.62,0.09,3.0,2.6,
EPD178,mqsA,b3021,yes,1.0E-06,0.09,0.02,1.4,0.9,
EPD179,parE,b3030,yes,1.0E-06,0.52,0.14,4.0,2.3,
EPD180,ribB,b3041,yes,3.3E+00,0.88,0.06,1.0,0.7,
EPD181,cca,b3056,yes,1.1E+00,0.99,0.02,0.7,0.4,
EPD182,tsaD,b3064,yes,3.3E+00,0.17,0.05,0.9,0.6,
EPD183,rpsU,b3065,yes,8.3E-03,0.23,0.02,1.7,1.3,
EPD184,dnaG,b3066,yes,1.3E-03,0.06,0.02,9.3,5.7,
EPD185,rpoD,b3067,yes,6.0E-01,0.98,0.09,1.3,0.7,
EPD186,tdcF,b3113,yes,1.3E+00,1.10,0.08,0.9,0.6,
EPD187,rsmI,b3146,yes,1.0E+00,0.78,0.09,1.0,0.8,
EPD188,yhbV,b3159,yes,1.3E+00,1.06,0.05,1.0,0.6,
EPD189,infB,b3168,yes,3.5E-01,0.20,0.06,2.6,1.9,
EPD190,nusA,b3169,yes,1.5E-03,0.89,0.02,1.8,0.5,
EPD191,glmM,b3176,yes,1.0E-06,0.01,0.01,48.5,4.4,
EPD192,ftsH,b3178,yes,1.3E-01,0.28,0.10,2.0,1.3,
EPD193,obgE,b3183,yes,1.0E-06,0.08,0.02,3.1,0.4,
EPD194,rpmA,b3185,yes,5.8E-01,0.47,0.13,1.5,0.2,
EPD195,rplU,b3186,no,,,,,,
EPD196,ispB,b3187,no,,,,,,
EPD197,murA,b3189,yes,5.6E-02,0.13,0.06,7.5,1.3,
EPD198,lptC,b3199,yes,1.1E+00,0.91,0.13,2.2,0.3,
EPD199,lptA,b3200,yes,8.3E-01,1.03,0.04,1.6,0.1,
EPD200,lptB,b3201,yes,1.0E-06,0.01,0.01,32.2,2.5,
EPD201,rplM,b3231,no,,,,,,
EPD202,degS,b3235,yes,8.3E-01,0.90,0.15,1.4,0.2,
EPD203,mreD,b3249,yes,1.2E+00,0.87,0.19,1.4,0.2,
EPD204,mreC,b3250,no,,,,,,
EPD205,mreB,b3251,no,,,,,,
EPD206,accB,b3255,yes,1.5E-03,0.26,0.02,8.5,2.9,
EPD207,accC,b3256,yes,1.0E-06,0.02,0.01,19.9,9.8,
EPD208,tsaC,b3282,yes,1.0E-06,0.05,0.01,1.1,0.2,
EPD209,def,b3287,yes,2.4E-01,0.23,0.07,3.4,0.3,
EPD210,fmt,b3288,yes,4.4E-03,0.05,0.02,7.2,0.8,
EPD211,rplQ,b3294,yes,6.7E-01,0.42,0.09,3.1,0.3,
EPD212,rpoA,b3295,no,,,,,,
EPD213,rpsD,b3296,no,,,,,,
EPD214,rpsK,b3297,no,,,,,,
EPD215,secY,b3300,yes,1.0E-06,0.51,0.12,2.4,0.5,
EPD216,rplO,b3301,no,,,,,,
EPD217,rpmD,b3302,no,,,,,,
EPD218,rpsE,b3303,no,,,,,,
EPD219,rplR,b3304,no,,,,,,
EPD220,rplF,b3305,no,,,,,,
EPD221,rpsH,b3306,no,,,,,,
EPD222,rpsN,b3307,no,,,,,,
EPD223,rplE,b3308,no,,,,,,
EPD224,rplX,b3309,no,,,,,,
EPD225,rplN,b3310,no,,,,,,
EPD226,rpmC,b3312,no,,,,,,
EPD227,rplP,b3313,no,,,,,,
EPD228,rpsC,b3314,no,,,,,,
EPD229,rplV,b3315,no,,,,,,
EPD230,rpsS,b3316,no,,,,,,
EPD231,rplB,b3317,no,,,,,,
EPD232,rplW,b3318,no,,,,,,
EPD233,rplD,b3319,no,,,,,,
EPD234,rplC,b3320,no,,,,,,
EPD235,rpsJ,b3321,no,,,,,,
EPD236,fusA,b3340,yes,1.1E-03,0.35,0.05,3.5,0.5,
EPD237,rpsG,b3341,yes,8.8E-01,0.71,0.09,2.7,0.6,
EPD238,rpsL,b3342,yes,2.9E-03,0.75,0.01,10.4,1.3,
EPD239,trpS,b3384,yes,3.8E-04,0.02,0.00,5.8,0.7,
EPD240,yrfF,b3398,yes,8.4E-01,0.83,0.17,1.6,0.3,
EPD241,asd,b3433,yes,1.0E+00,0.95,0.07,1.7,0.5,
EPD242,rpoH,b3461,no,,,,,,
EPD243,ftsX,b3462,yes,8.8E-01,0.96,0.07,2.1,0.5,
EPD244,ftsE,b3463,yes,5.8E-01,0.99,0.08,6.5,0.3,
EPD245,ftsY,b3464,yes,1.0E-06,0.14,0.06,17.7,4.6,
EPD246,yhhQ,b3471,yes,9.5E-01,0.95,0.07,2.6,0.5,
EPD247,bcsB,b3532,yes,1.1E+00,0.96,0.08,2.6,0.5,
EPD248,glyS,b3559,yes,1.0E-06,0.04,0.00,7.3,0.9,
EPD249,glyQ,b3560,yes,1.0E-06,0.05,0.02,11.4,1.6,
EPD250,gpsA,b3608,yes,1.5E-03,0.08,0.01,4.3,2.8,
EPD251,waaU,b3623,yes,9.2E-01,0.91,0.14,2.2,0.5,
EPD252,waaA,b3633,yes,1.4E-01,0.27,0.06,3.6,0.7,
EPD253,coaD,b3634,yes,1.0E-01,0.28,0.05,2.8,0.3,
EPD254,rpmB,b3637,yes,8.0E-02,0.34,0.06,3.7,0.5,
EPD255,dfp,b3639,no,,,,,,
EPD256,dut,b3640,yes,7.7E-05,0.13,0.02,10.0,0.9,
EPD257,gmk,b3648,yes,9.3E-01,0.92,0.07,1.1,0.3,
EPD258,spoT,b3650,yes,4.5E-01,0.64,0.06,2.3,0.2,
EPD259,gyrB,b3699,yes,1.0E-06,0.25,0.01,1.8,0.3,
EPD260,dnaN,b3701,yes,1.0E+00,0.98,0.07,2.2,0.6,
EPD261,dnaA,b3702,no,,,,,,
EPD262,rpmH,b3703,no,,,,,,
EPD263,rnpA,b3704,no,,,,,,
EPD264,yidC,b3705,yes,5.7E-01,0.83,0.13,1.3,0.4,
EPD265,tnaB,b3709,yes,8.8E-01,0.97,0.05,1.2,0.2,
EPD266,glmS,b3729,no,,,,,,
EPD267,glmU,b3730,yes,6.7E-05,0.02,0.00,17.8,2.5,
EPD268,rho,b3783,yes,2.1E-04,0.14,0.04,3.4,0.2,
EPD269,wzyE,b3793,yes,9.5E-01,0.92,0.04,9.3,3.1,
EPD270,hemD,b3804,yes,9.3E-01,0.29,0.00,2.1,0.3,
EPD271,hemC,b3805,yes,1.0E-01,0.22,0.02,2.1,0.1,
EPD272,ubiB,b3835,yes,1.0E+00,1.05,0.02,1.9,0.5,
EPD273,ubiD,b3843,yes,8.8E-01,0.72,0.09,2.2,0.4,
EPD274,hemG,b3850,yes,1.1E+00,0.93,0.10,2.0,0.4,
EPD275,polA,b3863,yes,6.4E-01,0.89,0.15,1.8,0.5,
EPD276,yihA,b3865,yes,5.9E-02,0.37,0.05,3.3,0.2,
EPD277,ftsN,b3933,yes,1.2E+00,0.97,0.05,1.4,0.0,
EPD278,murI,b3967,yes,5.3E-05,0.01,0.00,28.7,2.1,
EPD279,murB,b3972,yes,1.0E-06,0.01,0.00,8.7,1.6,
EPD280,birA,b3973,yes,8.6E-01,0.59,0.07,2.1,0.4,
EPD281,coaA,b3974,yes,1.0E-06,0.14,0.03,4.5,1.3,
EPD282,secE,b3981,yes,8.7E-01,1.07,0.07,1.3,0.3,
EPD283,nusG,b3982,yes,1.0E-06,0.43,0.09,14.1,3.0,
EPD284,rplJ,b3985,no,,,,,,
EPD285,rplL,b3986,yes,1.0E-06,0.04,0.01,6.5,0.7,
EPD286,rpoB,b3987,yes,8.6E-01,1.00,0.06,1.5,0.1,
EPD287,rpoC,b3988,yes,1.1E-02,0.66,0.09,1.7,0.3,
EPD288,ubiA,b4040,yes,8.6E-01,0.93,0.11,1.1,0.2,
EPD289,plsB,b4041,yes,1.0E-06,0.03,0.02,65.6,8.0,
EPD290,lexA,b4043,yes,1.5E-04,0.31,0.13,14.9,3.4,
EPD291,dnaB,b4052,yes,1.0E-06,0.12,0.02,4.6,0.7,
EPD292,ssb,b4059,yes,1.0E-06,0.83,0.01,0.9,0.2,
EPD293,alsK,b4084,yes,8.3E-01,0.96,0.12,2.7,0.6,
EPD294,groS,b4142,yes,3.6E-03,0.24,0.08,3.9,0.7,
EPD295,groL,b4143,no,,,,,,
EPD296,psd,b4160,yes,1.1E+00,0.96,0.11,2.6,0.7,
EPD297,orn,b4162,yes,1.0E-06,0.08,0.01,4.3,0.6,
EPD298,tsaE,b4168,yes,1.1E-01,0.07,0.02,2.4,0.4,
EPD299,rpsR,b4202,yes,1.1E+00,0.85,0.19,0.6,0.1,
EPD300,chpS,b4224,yes,1.2E+00,0.93,0.14,1.7,0.3,
EPD301,ppa,b4226,yes,4.0E-02,0.09,0.04,6.9,1.2,
EPD302,valS,b4258,yes,1.3E-04,0.02,0.01,3.5,0.8,
EPD303,lptF,b4261,no,,,,,,
EPD304,lptG,b4262,yes,1.2E+00,0.96,0.05,2.6,0.3,
EPD305,dnaC,b4361,yes,9.1E-05,0.06,0.02,7.3,0.9,
EPD306,wild type,,,1.1E+00,1.02,0.01,2.2,0.5,